Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[individual]	Characteristics[infect]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[protocol]	Characteristics[disease]	Characteristics[sex]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_TYPE]	Comment[READ_INDEX]	Protocol REF	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Protocol REF	Protocol REF	Derived Array Data File	Factor Value[infect]	Factor Value[time]	Unit[time unit]
Pla_HDBR10917734	ERS18335634	SAMEA115337457	Homo sapiens		Hrv100	none	CS20	placenta	scRNAseq	none	Unknown	organism part	P-MTAB-141382	P-MTAB-141383	P-MTAB-141388	P-MTAB-141384	Pla_HDBR10917734	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR10917734_S1_L001		sequencing assay	ERX12060272	P-MTAB-141385	Pla_HDBR10917734_S1_L001_I1_001.fastq.gz	Pla_HDBR10917734_S1_L001_I1_001.fastq.gz	ERR12686175	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686175/Pla_HDBR10917734_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-141386	P-MTAB-141389	Pla_HDBR10917734_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR10917734_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR10917734_matrix.mtx.gz	none	day2	day
Pla_HDBR10917734	ERS18335634	SAMEA115337457	Homo sapiens		Hrv100	none	CS20	placenta	scRNAseq	none	Unknown	organism part	P-MTAB-141382	P-MTAB-141383	P-MTAB-141388	P-MTAB-141384	Pla_HDBR10917734	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR10917734_S1_L001		sequencing assay	ERX12060272	P-MTAB-141385	Pla_HDBR10917734_S1_L001_I2_001.fastq.gz	Pla_HDBR10917734_S1_L001_I2_001.fastq.gz	ERR12686175	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686175/Pla_HDBR10917734_S1_L001_I2_001.fastq.gz	sample_barcode	index2	P-MTAB-141386	P-MTAB-141389	Pla_HDBR10917734_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR10917734_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR10917734_matrix.mtx.gz	none	day2	day
Pla_HDBR11345021	ERS18335635	SAMEA115337458	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_iv	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345021	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345021_S1_L001		sequencing assay	ERX12060273	P-MTAB-141385	Pla_HDBR11345021_S1_L001_R1_001.fastq.gz	Pla_HDBR11345021_S1_L001_R1_001.fastq.gz	ERR12686204	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686204/Pla_HDBR11345021_S1_L001_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345021_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_matrix.mtx.gz	pf_iv	24hpi	hour
Pla_HDBR11345021	ERS18335635	SAMEA115337458	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_iv	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345021	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345021_S1_L001		sequencing assay	ERX12060273	P-MTAB-141385	Pla_HDBR11345021_S1_L001_I1_001.fastq.gz	Pla_HDBR11345021_S1_L001_I1_001.fastq.gz	ERR12686204	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686204/Pla_HDBR11345021_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345021_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_matrix.mtx.gz	pf_iv	24hpi	hour
Pla_HDBR11345021	ERS18335635	SAMEA115337458	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_iv	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345021	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345021_S1_L001		sequencing assay	ERX12060273	P-MTAB-141385	Pla_HDBR11345021_S1_L001_R2_001.fastq.gz	Pla_HDBR11345021_S1_L001_R2_001.fastq.gz	ERR12686204	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686204/Pla_HDBR11345021_S1_L001_R2_001.fastq.gz	single	read2	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345021_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_matrix.mtx.gz	pf_iv	24hpi	hour
Pla_HDBR11345021	ERS18335635	SAMEA115337458	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_iv	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345021	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345021_S1_L001		sequencing assay	ERX12060273	P-MTAB-141385	Pla_HDBR11345021_S1_L001_I2_001.fastq.gz	Pla_HDBR11345021_S1_L001_I2_001.fastq.gz	ERR12686204	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686204/Pla_HDBR11345021_S1_L001_I2_001.fastq.gz	sample_barcode	index2	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345021_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345021_matrix.mtx.gz	pf_iv	24hpi	hour
Pla_HDBR11345022	ERS18335636	SAMEA115337459	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_nb	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345022	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345022_S1_L001		sequencing assay	ERX12060274	P-MTAB-141385	Pla_HDBR11345022_S1_L001_I2_001.fastq.gz	Pla_HDBR11345022_S1_L001_I2_001.fastq.gz	ERR12686191	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686191/Pla_HDBR11345022_S1_L001_I2_001.fastq.gz	sample_barcode	index2	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345022_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_matrix.mtx.gz	pf_nb	24hpi	hour
Pla_HDBR11345022	ERS18335636	SAMEA115337459	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_nb	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345022	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345022_S1_L001		sequencing assay	ERX12060274	P-MTAB-141385	Pla_HDBR11345022_S1_L001_R1_001.fastq.gz	Pla_HDBR11345022_S1_L001_R1_001.fastq.gz	ERR12686191	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686191/Pla_HDBR11345022_S1_L001_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345022_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_matrix.mtx.gz	pf_nb	24hpi	hour
Pla_HDBR11345022	ERS18335636	SAMEA115337459	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_nb	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345022	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345022_S1_L001		sequencing assay	ERX12060274	P-MTAB-141385	Pla_HDBR11345022_S1_L001_I1_001.fastq.gz	Pla_HDBR11345022_S1_L001_I1_001.fastq.gz	ERR12686191	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686191/Pla_HDBR11345022_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345022_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_matrix.mtx.gz	pf_nb	24hpi	hour
Pla_HDBR11345022	ERS18335636	SAMEA115337459	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_nb	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345022	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345022_S1_L001		sequencing assay	ERX12060274	P-MTAB-141385	Pla_HDBR11345022_S1_L001_R2_001.fastq.gz	Pla_HDBR11345022_S1_L001_R2_001.fastq.gz	ERR12686191	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686191/Pla_HDBR11345022_S1_L001_R2_001.fastq.gz	single	read2	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345022_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345022_matrix.mtx.gz	pf_nb	24hpi	hour
Pla_HDBR11345023	ERS18335637	SAMEA115337460	Plasmodium falciparum	2D9 NF54-eGFP	na	pf_b	NA	NA	scRNAseq	NA	NA	whole organism	P-MTAB-141382	P-MTAB-141381	P-MTAB-141388	P-MTAB-141384	Pla_HDBR11345023	RNA	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10x 3' v3	oligo-dT	0	index1	8	10x technology	none	16	read1	12	P-MTAB-141385	Wellcome Sanger Institute	Pla_HDBR11345023_S1_L001		sequencing assay	ERX12060275	P-MTAB-141385	Pla_HDBR11345023_S1_L001_I1_001.fastq.gz	Pla_HDBR11345023_S1_L001_I1_001.fastq.gz	ERR12686161	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12686161/Pla_HDBR11345023_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345023_barcodes.tsv.gz	P-MTAB-141389	Pla_HDBR11345023_features.tsv.gz	P-MTAB-141386	P-MTAB-141389	Pla_HDBR11345023_matrix.mtx.gz	pf_b	24hpi	hour
